review_text,sentiment
I recently attended a concert on campus and it was amazing! The sound quality was great and the performers were so talented.,positive
The food in the cafeteria is really bad. I've had stomach issues after eating there multiple times.,negative
"I went to the gym on campus and it was okay. The equipment was pretty standard, nothing special.",neutral
The library is my favorite place to study on campus. It's always quiet and the staff is very helpful.,positive
I'm really disappointed with the campus shuttle service. The buses are always late and crowded.,negative
"The student union has a lot of seating areas, which is nice. However, the food options are limited.",neutral
I loved the guest lecture we had in my psychology class. The speaker was very engaging and knowledgeable.,positive
The parking on campus is a nightmare. It's always hard to find a spot and the fees are expensive.,negative
I've been to a few events at the campus theater and they're always well-organized. The staff is friendly too.,positive
"The campus Wi-Fi can be slow at times, but it's not too bad. I've learned to just use my phone's hotspot when it's slow.",neutral
I'm so impressed with the campus recreation center. They offer a lot of fitness classes and the facilities are clean.,positive
I've had some issues with the campus housing office. They can be really unresponsive to emails and concerns.,negative
"The campus career center has a lot of resources available, which is helpful. However, the staff can be a bit overwhelming at times.",neutral
I recently visited the campus art gallery and it was really interesting. The artwork was diverse and thought-provoking.,positive
The campus bookstore is overpriced. I try to buy my textbooks online instead.,negative
I've been to a few campus events and they're always pretty well-attended. The atmosphere is usually lively.,positive
"The campus counseling services are helpful, but the wait times can be long.",neutral
I'm really disappointed with the campus dining options. There aren't many healthy choices.,negative
"The campus is really beautiful, especially during the spring. The grounds are well-maintained.",positive
I've had some issues with the campus IT department. They can be slow to respond to technical issues.,negative
The student organizations on campus are very active and diverse. There's something for everyone.,positive
"The campus parking garages can be a bit confusing to navigate, but they're clean and well-lit.",neutral
I recently attended a campus festival and it was a lot of fun. The music and food were great.,positive
"The campus mailroom can be a bit disorganized at times, but the staff is friendly.",neutral
I'm really impressed with the campus sustainability initiatives. They're doing a lot to reduce waste and energy consumption.,positive
"The campus student government can be a bit bureaucratic at times, but they're trying to make a positive impact.",neutral
I've had some issues with the campus facilities management. They can be slow to respond to maintenance requests.,negative
The campus has a lot of great resources for students with disabilities. The accessibility services are top-notch.,positive
"The campus recreation fields can be a bit crowded at times, but they're well-maintained.",neutral
I recently visited the campus museum and it was really informative. The exhibits were engaging and well-curated.,positive
The campus parking permits are expensive and hard to get.,negative
I've been to a few campus workshops and they're always helpful. The presenters are knowledgeable and engaging.,positive
"The campus IT services can be a bit slow at times, but they're usually able to resolve the issue.",neutral
I'm really impressed with the campus support services for international students. They're very helpful and welcoming.,positive
"I absolutely loved the concert that was held at the campus last week, the performers were amazing and the atmosphere was electric.",positive
"The new cafeteria food is a disaster, it's overpriced and tastes terrible, I'm really disappointed in the management's decision to change the menu.",negative
"The library is a great place to study, it's quiet and has a lot of resources, but sometimes it can get a bit crowded during exam season.",neutral
"I attended the career fair last month and it was really helpful, I got to meet with a lot of potential employers and learned about some great job opportunities.",positive
"The gym on campus is not well-maintained, the equipment is old and often broken, and the staff is not very friendly.",negative
"The student union building is a nice place to hang out, it has a lot of comfortable seating and a great selection of food and drinks, but it can get a bit noisy sometimes.",neutral
